item,image,multiple,word_czech,word_english,grammatical_gender,animacy,language,version,pos,item_ID,source
Karlovy Vary,NA,NA,Karlovy Vary,Karlovy Vary,m,i,cz,words,noun,word_772,sociolex
Katar,NA,NA,Katar,Qatar,m,i,cz,words,noun,word_774,sociolex
kavárna,NA,NA,kavárna,café,f,i,cz,words,noun,word_778,sociolex
kaviár,NA,NA,kaviár,caviar,m,i,cz,words,noun,word_779,sociolex
kazeta,NA,NA,kazeta,cassette,f,i,cz,words,noun,word_783,sociolex
kečup,NA,NA,kečup,ketchup,m,i,cz,words,noun,word_784,sociolex
kino,NA,NA,kino,cinema,n,i,cz,words,noun,word_785,sociolex
klášter,NA,NA,klášter,monastery,m,i,cz,words,noun,word_787,sociolex
klid,NA,NA,klid,peace (feeling),m,i,cz,words,noun,word_788,sociolex
klín,NA,NA,klín,lap,m,i,cz,words,noun,word_791,sociolex
klitoris,NA,NA,klitoris,clitoris,m,i,cz,words,noun,word_793,sociolex
kloub,NA,NA,kloub,joint (elbow),m,i,cz,words,noun,word_796,sociolex
knedlík,NA,NA,knedlík,dumpling,m,i,cz,words,noun,word_798,sociolex
knihovna,NA,NA,knihovna,library,f,i,cz,words,noun,word_802,sociolex
knížka,NA,NA,knížka,book (read),f,i,cz,words,noun,word_807,sociolex
kofein,NA,NA,kofein,caffeine,m,i,cz,words,noun,word_809,sociolex
kokain,NA,NA,kokain,cocaine,m,i,cz,words,noun,word_811,sociolex
koláč,NA,NA,koláč,pie,m,i,cz,words,noun,word_812,sociolex
koloběžka,NA,NA,koloběžka,scooter,f,i,cz,words,noun,word_817,sociolex
kolonialismus,NA,NA,kolonialismus,colonialism,m,i,cz,words,noun,word_818,sociolex
kolonie,NA,NA,kolonie,colony,f,i,cz,words,noun,word_819,sociolex
komedie,NA,NA,komedie,comedy,f,i,cz,words,noun,word_821,sociolex
komín,NA,NA,komín,chimney,m,i,cz,words,noun,word_823,sociolex
kompostér,NA,NA,kompostér,composter,m,i,cz,words,noun,word_824,sociolex
kompresor,NA,NA,kompresor,generator,m,i,cz,words,noun,word_825,sociolex
komunismus,NA,NA,komunismus,communism,m,i,cz,words,noun,word_827,sociolex
komunita,NA,NA,komunita,community,f,i,cz,words,noun,word_828,sociolex
koncert,NA,NA,koncert,concert,m,i,cz,words,noun,word_829,sociolex
konev,NA,NA,konev,watering can,f,i,cz,words,noun,word_831,sociolex
konzervatismus,NA,NA,konzervatismus,conservatism,m,i,cz,words,noun,word_833,sociolex
kopačka,NA,NA,kopačka,football boot,f,i,cz,words,noun,word_835,sociolex
kopec,NA,NA,kopec,hill,m,i,cz,words,noun,word_837,sociolex
korán,NA,NA,korán,Quran,m,i,cz,words,noun,word_838,sociolex
korektnost,NA,NA,korektnost,correctness,f,i,cz,words,noun,word_839,sociolex
kořen,NA,NA,kořen,root,m,i,cz,words,noun,word_840,sociolex
koriandr,NA,NA,koriandr,coriander,m,i,cz,words,noun,word_841,sociolex
korupce,NA,NA,korupce,corruption,f,i,cz,words,noun,word_842,sociolex
kosa,NA,NA,kosa,scythe,f,i,cz,words,noun,word_843,sociolex
kostýmek,NA,NA,kostýmek,costume,m,i,cz,words,noun,word_850,sociolex
koule,NA,NA,koule,sphere,f,i,cz,words,noun,word_851,sociolex
koupelna,NA,NA,koupelna,bathroom,f,i,cz,words,noun,word_852,sociolex
kouř,NA,NA,kouř,smoke,m,i,cz,words,noun,word_854,sociolex
kraj,NA,NA,kraj,region,m,i,cz,words,noun,word_861,sociolex
království,NA,NA,království,kingdom,n,i,cz,words,noun,word_867,sociolex
krasobruslení,NA,NA,krasobruslení,figure skating,n,i,cz,words,noun,word_870,sociolex
kraťasy,NA,NA,kraťasy,shorts,m,i,cz,words,noun,word_872,sociolex
krb,NA,NA,krb,fireplace,m,i,cz,words,noun,word_876,sociolex
kremace,NA,NA,kremace,cremation,f,i,cz,words,noun,word_880,sociolex
křeštanství,NA,NA,křeštanství,Christianity,n,i,cz,words,noun,word_883,sociolex
krev,NA,NA,krev,blood,f,i,cz,words,noun,word_886,sociolex
krize,NA,NA,krize,crisis,f,i,cz,words,noun,word_893,sociolex
krk,NA,NA,krk,neck,m,i,cz,words,noun,word_894,sociolex
ksicht,NA,NA,ksicht,mug (face),m,i,cz,words,noun,word_902,sociolex
kšiltovka,NA,NA,kšiltovka,baseball cap,f,i,cz,words,noun,word_903,sociolex
Kuba,NA,NA,Kuba,Cuba,a,i,cz,words,noun,word_904,sociolex
kultura,NA,NA,kultura,culture,f,i,cz,words,noun,word_911,sociolex
kunda,NA,NA,kunda,cunt,f,i,cz,words,noun,word_913,sociolex
kůra,NA,NA,kůra,bark (tree),f,i,cz,words,noun,word_914,sociolex
kůže,NA,NA,kůže,skin,f,i,cz,words,noun,word_919,sociolex
kvádr,NA,NA,kvádr,cube,m,i,cz,words,noun,word_920,sociolex
Kyjev,NA,NA,Kyjev,Kiev,m,i,cz,words,noun,word_926,sociolex
lanovka,NA,NA,lanovka,gondola,f,i,cz,words,noun,word_939,sociolex
láska,NA,NA,láska,love,f,i,cz,words,noun,word_940,sociolex
lebka,NA,NA,lebka,skull,f,i,cz,words,noun,word_943,sociolex
